,PLAYER_ID,PLAYER_NAME,PLAYER_POSITION,TEAM_ID,PLAYER_BACK_NUMBER,PLAYER_BIRTH_DATE,PLAYER_HEIGHT_WEIGHT,PLAYER_EDUCATION_PATH
756,757,박성재,포수,6,15.0,2002-11-18,"186cm, 98kg",가산초-개성중-부산고-두산-상무
757,758,박신지,투수,6,49.0,1999-07-16,"185cm, 75kg",목암초(의정부리틀)-영동중-경기고-두산-상무
758,759,박연준,투수,6,120.0,2000-07-05,"184cm, 94kg",석교초-세광중-세광고-강릉영동대
759,760,박웅,투수,6,106.0,1997-11-12,"192cm, 103kg",북정초-원동중-경남고-강릉영동대
760,761,박정수,투수,6,12.0,1996-01-29,"178cm, 74kg",서울청구초-서울이수중-야탑고-KIA-경찰-KIA-NC
761,762,박준순,내야수,6,52.0,2006-07-13,"180cm, 80kg",배봉초(동대문구리틀)-청량중-덕수고
762,763,박준영,내야수,6,16.0,1997-08-05,"180cm, 90kg",서울도곡초(남양주리틀)-잠신중-경기고-NC
763,764,박지호,투수,6,4.0,2003-07-02,"181cm, 99kg",부성초(천안유소년리틀)-모가중-장안고-동강대
764,765,박지훈,내야수,6,37.0,2000-09-07,"183cm, 80kg",김해삼성초-경남중-마산고
765,766,박치국,투수,6,1.0,1998-03-10,"177cm, 78kg",인천숭의초-인천신흥중-제물포고
766,767,손율기,외야수,6,110.0,2005-06-11,"180cm, 100kg",양덕초-마산동중-용마고
767,768,신민철,내야수,6,127.0,2003-01-13,"185cm, 90kg",가동초-휘문중-휘문고
768,769,양석환,내야수,6,53.0,1991-07-15,"185cm, 90kg",백운초-신일중-신일고-동국대-LG-상무-LG
769,770,양의지,포수,6,25.0,1987-06-05,"180cm, 95kg",송정동초-무등중-진흥고-두산-경찰-두산-NC
770,771,양재훈,투수,6,92.0,2003-05-01,"186cm, 89kg",부산수영초-사직중-개성고-동의과학대
771,772,양현진,외야수,6,100.0,2002-01-03,"191cm, 86kg",길주초(안동시리틀)-포항중-영문고
772,773,여동건,내야수,6,5.0,2005-08-04,"175cm, 75kg",가동초-자양중-서울고
773,774,연서준,투수,6,118.0,2006-04-13,"185cm, 88kg",구리초-구리인창중-비봉고
774,775,오명진,내야수,6,6.0,2001-09-04,"179cm, 79kg",대전신흥초-한밭중-세광고
775,776,윤태호,투수,6,65.0,2003-10-10,"190cm, 88kg",상인천초-동인천중-인천고
776,777,이교훈,투수,6,7.0,2000-05-29,"181cm, 83kg",구리초(남양주리틀)-청원중-서울고
777,778,이민석,내야수,6,107.0,2001-11-01,"182cm, 88kg",강동초(해운대리틀)-센텀중-부산공고
778,779,이병헌,투수,6,29.0,2003-06-04,"183cm, 95kg",역삼초-영동중-서울고
779,780,이선우,내야수,6,24.0,2006-04-04,"182cm, 80kg",일산신일초(일산서구리틀)-충암중-충암고
780,781,이승진,투수,6,55.0,1995-01-07,"186cm, 86kg",수원신곡초-매송중-야탑고-상무-SK
781,782,이영하,투수,6,50.0,1997-11-01,"192cm, 91kg",영일초-강남중-선린인터넷고
782,783,이유찬,내야수,6,13.0,1998-08-05,"175cm, 68kg",동막초-천안북중-북일고-두산-상무
783,784,이주엽,투수,6,43.0,2001-03-26,"188cm, 90kg",서울이수초-성남중-성남고
784,785,이한별,내야수,6,115.0,2000-07-02,"181cm, 83kg",성동초-휘문중-휘문고-성균관대
785,786,임종성,내야수,6,3.0,2005-03-03,"183cm, 90kg",본리초-대구중-경북고
786,787,장규빈,포수,6,44.0,2001-04-21,"186cm, 98kg",갈산초-서울신월중-경기고
787,788,장승현,포수,6,22.0,1994-03-07,"184cm, 86kg",인천서림초-동산중-제물포고-두산-경찰
788,789,장우진,투수,6,126.0,2004-03-20,"188cm, 84kg",제주중앙초-천안북중-북일고
789,790,잭로그,투수,6,39.0,1996-04-23,"183cm, 84kg",미국 Archbishop Moeller(고)-미국 Kentucky(대)
790,791,전다민,외야수,6,9.0,2001-08-21,"177cm, 75kg",길동초-청원중-설악고-강릉영동대
791,792,정수빈,외야수,6,31.0,1990-10-07,"175cm, 70kg",수원신곡초-수원북중-유신고-두산-경찰
792,793,정은재,투수,6,102.0,1991-12-31,"192cm, 92kg",화곡초-덕수중-선린인터넷고
793,794,제환유,투수,6,93.0,2000-09-30,"183cm, 76kg",둔산초-공주중-공주고
794,795,조수행,외야수,6,51.0,1993-08-30,"178cm, 73kg",노암초-경포중-강릉고-건국대-두산-상무
795,796,조제영,투수,6,38.0,2001-02-12,"182cm, 89kg",양덕초-마산중-용마고
796,797,주양준,외야수,6,117.0,2006-04-09,"188cm, 85kg",부산화정초(부산북구리틀)-개성중-경남고
797,798,지강혁,내야수,6,125.0,2000-08-14,"181cm, 83kg",광주서석초-광주동성중-광주동성고-KT
798,799,천현재,포수,6,103.0,1999-07-05,"183cm, 90kg",연제초(부산남구리틀)-신정중-부경고-성균관대
799,800,최민석,투수,6,68.0,2006-07-02,"188cm, 84kg",중대초-양천중-서울고
800,801,최세창,투수,6,109.0,2001-06-01,"187cm, 95kg",예원초-사직중-개성고
801,802,최승용,투수,6,28.0,2001-05-11,"190cm, 87kg",양오초-모가중-소래고
802,803,최우인,투수,6,108.0,2002-08-09,"191cm, 91kg",가동초-대치중-서울고
803,804,최우혁,외야수,6,119.0,2005-12-02,"190cm, 90kg",신곡초-매향중-라온고
804,805,최원준,투수,6,61.0,1994-12-21,"182cm, 91kg",수유초-신일중-신일고-동국대
805,806,최종인,투수,6,40.0,2001-05-01,"185cm, 84kg",해강초-센텀중-부산고
806,807,최준호,투수,6,41.0,2004-06-03,"188cm, 90kg",온양온천초-온양중-북일고
807,808,최지강,투수,6,42.0,2001-07-23,"180cm, 88kg",광주서석초-광주동성중-광주동성고-강릉영동대
808,809,추재현,외야수,6,36.0,1999-02-22,"178cm, 85kg",경수초(성동구리틀)-건대부중-신일고-히어로즈-키움-롯데-상무-롯데
809,810,케이브,외야수,6,8.0,1992-12-04,"183cm, 90kg",미국 Kecoughtan(고)
810,811,콜어빈,투수,6,57.0,1994-01-31,"193cm, 102kg",미국 Servite(고)-미국 Oregon(대)
811,812,한다현,내야수,6,114.0,2006-08-25,"181cm, 85kg",백문초-구리인창중-라온고
812,813,홍건희,투수,6,17.0,1992-09-29,"187cm, 97kg",화순초-화순중-화순고-KIA-상무-KIA
813,814,홍민규,투수,6,67.0,2006-09-11,"183cm, 87kg",서울논현초(용산구리틀)-대원중-야탑고
814,815,홍성호,외야수,6,34.0,1997-07-15,"187cm, 98kg",인헌초-선린중-선린인터넷고
815,816,황희천,투수,6,58.0,2006-11-06,"190cm, 93kg",부산수영초-개성중-충암고
816,817,강진성,내야수,10,27.0,1993-10-19,"176cm, 89kg",가동초-잠신중-경기고-NC-경찰-NC-두산-SSG
817,818,고영우,내야수,10,44.0,2001-06-21,"173cm, 80kg",부산대연초(사상구리틀)-대동중-경남고-성균관대
818,819,권혁빈,내야수,10,71.0,2005-11-04,"185cm, 75kg",칠성초-경상중-대구고
819,820,김건희,포수,10,12.0,2004-11-07,"186cm, 96kg",대전신흥초-온양중-원주고
820,821,김동규,투수,10,99.0,2004-07-09,"194cm, 100kg",서울청구초-영남중-성남고-LG
821,822,김동엽,외야수,10,38.0,1990-07-24,"186cm, 101kg",천안남산초-천안북중-북일고-SK-삼성
822,823,김동헌,포수,10,47.0,2004-07-15,"182cm, 91kg",영문초(영등포구리틀)-충암중-충암고
823,824,김병휘,내야수,10,23.0,2001-02-16,"177cm, 79kg",효제초-홍은중-장충고
824,825,김서준,투수,10,59.0,2006-12-22,"187cm, 83kg",고양화정초(일산서구리틀)-원당중-충훈고
825,826,김선기,투수,10,49.0,1991-09-01,"187cm, 98kg",석교초-세광중-세광고-상무-히어로즈
826,827,김성민,투수,10,8.0,1994-04-26,"181cm, 90kg",대구옥산초-경복중-대구상원고-일본경제대-SK-히어로즈
827,828,김연주,투수,10,68.0,2004-02-27,"175cm, 75kg",대전신흥초-충남중-세광고
828,829,김웅빈,내야수,10,10.0,1996-02-09,"182cm, 97kg",서라벌초-울산제일중-울산공고-히어로즈-상무
829,830,김윤하,투수,10,19.0,2005-03-07,"185cm, 90kg",와부초(남양주리틀)-덕수중-장충고
830,831,김인범,투수,10,67.0,2000-01-12,"187cm, 91kg",하남동부초(하남시리틀)-전라중-전주고-키움-상무
831,832,김재현,포수,10,32.0,1993-03-18,"178cm, 90kg",진북초-전라중-대전고-히어로즈-상무
832,833,김주훈,투수,11,69.0,2003-06-25,"180cm, 80kg",울산대현초-부산신정중-용마고-동원과학기술대
833,834,김지성,포수,11,65.0,2004-05-27,"174cm, 91kg",창영초-재능중-율곡고
834,835,김태진,내야수,10,1.0,1995-10-07,"169cm, 73kg",수유초-신일중-신일고-NC-경찰-NC-KIA
835,836,로젠버그,투수,10,22.0,1995-07-09,"186cm, 90kg",미국 California State(대)
836,837,박범준,투수,10,45.0,2004-05-28,"183cm, 75kg",대전신흥초-한밭중-대전고
837,838,박성빈,포수,10,56.0,2004-04-21,"177cm, 94kg",한밭초(계룡시리틀)-충남중-대전고
