PITCHER_STATS_ID,TEAM_ID,PITCHER_STATS_YEAR,PLAYER_NAME,PITCHER_STATS_ERA,PITCHER_STATS_G,PITCHER_STATS_W,PITCHER_STATS_L,PITCHER_STATS_SV,PITCHER_STATS_HLD,PITCHER_STATS_WPCT,PITCHER_STATS_IP,PITCHER_STATS_H,PITCHER_STATS_HR,PITCHER_STATS_BB,PITCHER_STATS_HBP,PITCHER_STATS_SO,PITCHER_STATS_R,PITCHER_STATS_ER,PITCHER_STATS_WHIP
142,9,2009,류현진,3.57 ,28,13,12,0,0,0.520 ,189 1/3,180,19,67,2,188,80,75,1.30 
143,2,2009,조정훈,4.05 ,27,14,9,0,0,0.609 ,182 1/3,189,23,53,7,175,97,82,1.33 
144,2,2009,장원준,4.15 ,28,13,8,0,0,0.619 ,162 2/3,175,16,82,6,108,83,75,1.58 
145,15,2009,이현승,4.18 ,30,13,10,0,0,0.565 ,170,161,25,66,5,120,84,79,1.34 
146,3,2009,윤성환,4.32 ,30,14,5,0,0,0.737 ,166 2/3,163,19,34,10,131,83,80,1.18 
147,3,2009,크루세타,4.36 ,30,9,10,0,0,0.474 ,157,134,11,109,6,127,90,76,1.55 
148,2,2009,송승준,4.72 ,29,13,8,0,0,0.619 ,167 2/3,175,25,68,8,104,92,88,1.45 
149,6,2009,김선우,5.11 ,29,11,10,0,0,0.524 ,148,176,18,48,6,89,93,84,1.51 
150,9,2009,안영명,5.18 ,26,11,8,0,0,0.579 ,140 2/3,148,34,45,7,87,88,81,1.37 
151,9,2010,류현진,1.82 ,25,16,4,0,0,0.800 ,192 2/3,149,11,45,9,187,42,39,1.01 
152,13,2010,김광현,2.37 ,31,17,7,0,0,0.708 ,193 2/3,153,13,84,5,183,56,51,1.22 
153,13,2010,카도쿠라,3.22 ,30,14,7,0,0,0.667 ,153 2/3,146,14,52,6,143,65,55,1.29 
154,6,2010,히메네스,3.32 ,27,14,5,0,0,0.737 ,152,139,7,62,9,87,65,56,1.32 
155,4,2010,서재응,3.34 ,24,9,7,0,0,0.563 ,140,134,10,29,11,68,53,52,1.16 
156,3,2010,장원삼,3.46 ,29,13,5,0,0,0.722 ,151,139,13,44,5,115,62,58,1.21 
157,5,2010,봉중근,3.58 ,28,10,9,0,0,0.526 ,178 1/3,166,13,69,14,130,74,71,1.32 
158,2,2010,사도스키,3.87 ,27,10,8,0,0,0.556 ,169 2/3,153,17,54,8,120,83,73,1.22 
159,6,2010,김선우,4.02 ,28,13,6,0,0,0.684 ,154 2/3,163,12,50,8,128,77,69,1.38 
160,4,2010,양현종,4.25 ,30,16,8,0,0,0.667 ,169 1/3,169,9,98,6,145,84,80,1.58 
161,2,2010,송승준,4.39 ,27,14,6,0,0,0.700 ,168,156,20,60,9,113,90,82,1.29 
162,2,2010,장원준,4.43 ,26,12,6,0,0,0.667 ,144 1/3,158,24,48,8,113,77,71,1.43 
163,4,2010,로페즈,4.66 ,27,4,10,1,0,0.286 ,166,180,22,43,8,83,92,86,1.34 
164,14,2010,번사이드,5.34 ,29,10,10,0,0,0.500 ,140,150,16,82,18,98,91,83,1.66 
165,9,2010,유원상,5.50 ,29,5,14,0,0,0.263 ,142 1/3,164,20,69,2,82,89,87,1.64 
166,4,2011,윤석민,2.45 ,27,17,5,1,0,0.773 ,172 1/3,137,10,44,6,178,53,47,1.05 
167,6,2011,니퍼트,2.55 ,29,15,6,0,0,0.714 ,187,150,8,64,10,150,61,53,1.14 
168,6,2011,김선우,3.13 ,28,16,7,1,0,0.696 ,175 2/3,188,12,35,6,89,68,61,1.27 
169,2,2011,장원준,3.14 ,29,15,6,0,0,0.714 ,180 2/3,195,7,62,9,129,72,63,1.42 
170,3,2011,윤성환,3.54 ,24,14,5,0,0,0.737 ,137 1/3,151,8,30,3,83,62,54,1.32 
171,5,2011,주키치,3.60 ,32,10,8,1,0,0.556 ,187 2/3,174,9,53,1,150,86,75,1.21 
172,3,2011,차우찬,3.69 ,24,10,6,0,0,0.625 ,148 2/3,156,22,62,3,114,75,61,1.47 
173,5,2011,리즈,3.88 ,30,11,13,0,0,0.458 ,164 2/3,149,11,84,15,122,79,71,1.41 
174,2,2011,사도스키,3.91 ,25,11,8,0,0,0.579 ,140 1/3,130,15,52,6,79,64,61,1.30 
175,4,2011,로페즈,3.98 ,26,11,9,1,0,0.550 ,153 2/3,153,14,26,9,106,71,68,1.16 
176,2,2011,송승준,4.18 ,30,13,10,0,0,0.565 ,172 1/3,181,17,59,7,126,84,80,1.39 
177,5,2011,박현준,4.18 ,29,13,10,0,0,0.565 ,163 2/3,153,13,68,11,137,88,76,1.35 
178,2,2011,고원준,4.19 ,36,9,7,2,0,0.563 ,152 2/3,163,15,59,6,85,77,71,1.45 
179,9,2011,양훈,4.28 ,27,6,10,0,0,0.375 ,143,145,15,60,5,110,75,68,1.43 
180,14,2011,나이트,4.70 ,30,7,15,0,0,0.318 ,172 1/3,169,12,98,12,115,98,90,1.55 
181,9,2011,안승민,5.89 ,29,7,9,0,0,0.438 ,139,177,22,30,8,90,101,91,1.49 
182,14,2012,나이트,2.20 ,30,16,4,0,0,0.800 ,208 2/3,180,6,53,7,102,60,51,1.12 
183,6,2012,노경은,2.53 ,42,12,6,0,7,0.667 ,146,106,6,69,8,133,46,41,1.20 
184,2,2012,유먼,2.55 ,29,13,7,0,1,0.650 ,179 2/3,156,10,56,1,142,58,51,1.18 
185,4,2012,서재응,2.59 ,29,9,8,0,0,0.529 ,160,143,7,51,7,97,51,46,1.21 
186,9,2012,류현진,2.66 ,27,9,9,0,0,0.500 ,182 2/3,153,12,46,5,210,58,54,1.09 
187,4,2012,김진우,2.90 ,24,10,5,0,0,0.667 ,133 2/3,110,2,50,10,101,47,43,1.20 
188,6,2012,이용찬,3.00 ,26,10,11,0,0,0.476 ,162,154,5,63,6,113,58,54,1.34 
189,4,2012,윤석민,3.12 ,28,9,8,0,0,0.529 ,153,120,9,33,8,137,60,53,1.00 
