GAME_DATE,STADIUM,HOME_SCORE,AWAY_SCORE,IS_RAINED_OUT,HOME_TEAM_NAME,AWAY_TEAM_NAME
2001-08-12 18:30:00,시민,1,4,N,삼성,SK
2001-08-12 18:30:00,잠실,0,7,N,LG,KIA
2001-08-12 18:30:00,수원,4,6,N,현대,롯데
2001-08-12 18:30:00,대전,4,2,N,한화,두산
2001-08-14 18:30:00,인천,3,4,N,SK,현대
2001-08-14 18:30:00,잠실,7,9,N,두산,삼성
2001-08-14 18:30:00,사직,2,0,N,롯데,LG
2001-08-15 18:30:00,인천,3,2,N,SK,현대
2001-08-15 18:30:00,사직,5,4,N,롯데,LG
2001-08-15 18:30:00,대전,6,7,N,한화,KIA
2001-08-16 18:30:00,잠실,4,3,N,두산,삼성
2001-08-16 18:30:00,사직,3,9,N,롯데,LG
2001-08-16 18:30:00,대전,2,11,N,한화,KIA
2001-08-17 18:30:00,시민,8,3,N,삼성,한화
2001-08-17 18:30:00,무등,2,7,N,KIA,롯데
2001-08-17 18:30:00,인천,0,2,N,SK,두산
2001-08-18 18:30:00,시민,11,3,N,삼성,한화
2001-08-18 18:30:00,무등,11,12,N,KIA,롯데
2001-08-18 18:30:00,인천,8,13,N,SK,두산
2001-08-18 18:30:00,잠실,1,2,N,LG,현대
2001-08-19 18:30:00,시민,7,6,N,삼성,한화
2001-08-19 18:30:00,무등,2,9,N,KIA,롯데
2001-08-19 18:30:00,인천,4,2,N,SK,두산
2001-08-19 18:30:00,잠실,6,2,N,LG,현대
2001-08-21 18:30:00,무등,2,6,N,KIA,삼성
2001-08-21 18:30:00,잠실,5,6,N,두산,LG
2001-08-21 18:30:00,사직,1,6,N,롯데,SK
2001-08-21 18:30:00,수원,7,8,N,현대,한화
2001-08-22 18:30:00,무등,3,8,N,KIA,삼성
2001-08-22 18:30:00,잠실,10,2,N,두산,LG
2001-08-22 18:30:00,사직,5,6,N,롯데,SK
2001-08-22 18:30:00,수원,8,4,N,현대,한화
2001-08-23 18:30:00,잠실,6,3,N,두산,LG
2001-08-23 18:30:00,사직,5,4,N,롯데,SK
2001-08-24 18:30:00,수원,1,6,N,현대,KIA
2001-08-25 18:30:00,인천,4,5,N,SK,삼성
2001-08-25 18:30:00,잠실,11,7,N,두산,롯데
2001-08-25 18:30:00,수원,10,8,N,현대,KIA
2001-08-25 18:30:00,대전,4,3,N,한화,LG
2001-08-26 14:00:00,대전,4,6,N,한화,LG
2001-08-26 18:20:00,인천,9,8,N,SK,삼성
2001-08-26 18:30:00,잠실,5,9,N,두산,롯데
2001-08-26 18:30:00,수원,4,0,N,현대,KIA
2001-08-28 18:30:00,시민,4,16,N,삼성,롯데
2001-08-28 18:30:00,잠실,12,4,N,LG,현대
2001-08-28 18:30:00,대전,8,5,N,한화,SK
2001-08-29 18:30:00,시민,3,11,N,삼성,롯데
2001-08-29 18:30:00,무등,2,7,N,KIA,두산
2001-08-29 18:30:00,잠실,9,4,N,LG,현대
2001-08-29 18:30:00,대전,4,2,N,한화,SK
2001-08-03 18:30:00,무등,9,7,N,KIA,두산
2001-08-03 18:30:00,대전,1,4,N,한화,SK
2001-09-01 14:00:00,무등,7,5,N,KIA,LG
2001-09-01 17:00:00,잠실,3,2,N,두산,SK
2001-09-01 17:00:00,사직,5,2,N,롯데,한화
2001-09-01 17:00:00,수원,0,6,N,현대,삼성
2001-09-02 14:00:00,무등,5,4,N,KIA,LG
2001-09-02 14:00:00,잠실,3,4,N,두산,SK
2001-09-02 14:00:00,사직,4,10,N,롯데,한화
2001-09-02 14:00:00,수원,9,4,N,현대,삼성
2001-09-04 18:30:00,인천,2,5,N,SK,KIA
2001-09-04 18:30:00,시민,11,6,N,삼성,두산
2001-09-04 18:30:00,잠실,1,0,N,LG,롯데
2001-09-04 18:30:00,수원,8,2,N,현대,한화
2001-09-05 18:20:00,수원,1,4,N,현대,한화
2001-09-05 18:30:00,인천,2,7,N,SK,KIA
2001-09-05 18:30:00,시민,2,4,N,삼성,두산
2001-09-05 18:30:00,잠실,1,9,N,LG,롯데
2001-09-06 18:30:00,인천,1,5,N,SK,KIA
2001-09-06 18:30:00,잠실,7,1,N,LG,롯데
2001-09-07 18:30:00,무등,2,13,N,KIA,두산
2001-09-07 18:30:00,잠실,3,4,N,LG,삼성
2001-09-07 18:30:00,사직,7,6,N,롯데,현대
2001-09-08 14:00:00,잠실,3,5,N,LG,삼성
2001-09-08 15:00:00,무등,17,9,N,KIA,두산
2001-09-08 17:00:00,사직,9,4,N,롯데,현대
2001-09-08 17:00:00,대전,9,6,N,한화,SK
2001-09-08 18:20:00,무등,9,15,N,KIA,두산
2001-09-08 18:20:00,잠실,7,2,N,LG,삼성
2001-09-09 14:00:00,무등,7,6,N,KIA,두산
2001-09-09 14:00:00,잠실,10,6,N,LG,삼성
2001-09-01 18:30:00,사직,5,8,N,롯데,현대
2001-09-01 18:30:00,대전,3,4,N,한화,SK
2001-09-11 18:20:00,수원,10,5,N,현대,LG
2001-09-11 18:30:00,시민,10,1,N,삼성,KIA
2001-09-11 18:30:00,인천,2,6,N,SK,롯데
2001-09-11 18:30:00,잠실,4,3,N,두산,한화
